제목,가수,가사
Small room (feat. B JYUN.),"늘보 (Neulbo), sushiwishfish (스위피)","Back then, we were living in Small room
이젠 각자의 다른 사랑을 찾아 떠났지만 remember
Back then, we were living in Small room
우리 꿈보다 방이 작았던
그 시절에 너와 머물던 나를
Roller coaster처럼 달려왔어
넌 나에게로 Far away
만에 하나 우리 추락해도 같이 떨어질게 분명해
너라도 꼭 살아나야 해
이 복잡한 서울 넌 쉽지 않을 거야
생각대로 다는 되지 않을 거야
이젠 나 하나 보고 왔다는 믿음은 지워졌기에 
더는 붙잡을 수 없다고 말했지 KTX
지워내고 있어 
비워두고 싶어
다시 담고 있어 
짐을 내려놔 줘 
이젠 울고 있어 
마주 보고 싶어 
전에 웃던 우린 다 어디 갔어
내 방에 쌓인 문제는 가득해서 
다시 초대할 수 없어 내 머리로는
I can’t deny it
Our life is gonna be a thriller
Back then, we were living in Small room
이젠 각자의 다른 사랑을 찾아 떠났지만 remember
Back then, we were living in Small room
우리 꿈보다 방이 작았던
그 시절에 너와 머물던 나를
We had a beautiful time
어린 우리가 머물렀던
비좁은 방에서 했던 약속은 어디 갔어
It was a beautiful time
어른이 되어가는 게
벌써 익숙해져 버린
우린 가려진 시간 앞에서
We had a beautiful time
초라해져 버린 추억을 지운 채
살아가고 있어 건너편을 바라본 채
신호가 바뀔 일은 없을 거야
우리가 다시 만날 일은 없을 거야 아마도
흐르는 시간이 만약에 또 반대로
우리를 데려가도 다시 해 하던 대로
그때의 나에게 뭘 할 수 있겠어
변하지 말라 해도
시간은 앞으로만 가
너도 마찬가지일걸 알아
나도 잘 알아 다신 볼 수 없게
닫아놓은 작은 기억에
She was a beautiful time
바스러져 간 과거에 나를 붙잡아 놓고
다시 너를 떠올리며 눈을 감았어
Back then, we were living in Small room
이젠 각자의 다른 사랑을 찾아 떠났지만 remember
Back then, we were living in Small room
우리 꿈보다 방이 작았던
그 시절에 너와 머물던 나를"
부르즈 할리파 (Ours Version),에픽하이 (EPIK HIGH),"고발해 난 고막에 cocaine 'Blo' 답게
코끝 찡해지고 감동과 뇌 코베인 폭발해
Another legend baby 곡 낳을 때마저
caring daddy 마치 레논 케네디
콜트레인의 부모같애 X나게 사랑해
Say no no no to drugs 바늘 대신 이어폰 꽂고
연예인들도 줄 서게 하는 내 음악은 프로포폴
10년간 니들 머리위에서 날뛰는 내 랩은 더 떠들어
층간소음 난 세대를 넘나들어 그래
음원차트 보다 진료차트에 더 착 달라붙던 내 이름
빌보드 Hot 100보다 뜨겁던 비보와 
춤추던 죽음의 리듬
Man, I OD’d 열꽃이 절망 과다 복용 
and this is rehab
경찰과 소방관 신부와 
퇴마사 싹 다 불러내 지금
‘Cause I’m back 
Fuck competition 윗공기 Puff puff no passing
I’m born fly No 
공항패션 
환자복과 링거 공황 patient
난 Sick Ill Dope like the combination of a 
vic pill, coke, molly, novocain, son 
이게 Epik 'High'
약 빨고 만든 노래 Recognize
Burj Khalifa Khalifa Khalifa
하늘이 발 아래 
I’m here to get you high again
Wussup? 
Up in the sky, man I’m feelin’ so high
Wussup? 
죽어도 안 떨어지는 약발
Wussup?
Up in the sky, man I’m feelin’ so high
Wussup? 
My High is Epik
니 양귀 비집고 들어가지 내 귀지 flow
파내도 안 파내도 니 고막 앞에 난 집 짓고
party해 죽이지 밤 새 술이지
이런 날 
니가 '나무'라면 더 자라는 랩 '뿌리'지
'99' 거리던 비둘기들은 다 모여 welcome
편함도 질린 싱글 결혼보다 난 노려 앨범
난 그냥 '못', '관'두지 난 망치든 묻히든 '끝'
장 보려고 타 작두 위 살 떨리는 느낌은 'good'
약빨 떨어져도 니들보다는 better
손만 쭉 빨고 
뱉어도 아마 top class 될 batter
like A-Roid Big Mc, 
또는 Sammy &amp; Barry Boid
늘 장착 된 Steroid 
누굴 골라도 넌 bad choice
해 랩 게임 배팅? 결관 불 보듯 뻔해
나는 만만 근데 넌 세상이 흉 볼 듯 '천'해
니 엄마를 불러 모셔도 답이 없지 내 가사
풀어져도 저 하늘을 뚫고 
올라가 꿈을 조이네 NASA
Wussup? Up in the sky, man I’m feelin’ so high
Wussup? 
죽어도 안 떨어지는 약발
Wussup? 
Up in the sky, man I’m feelin’ so high
Wussup?"
Got No Feelings,팻티겐,"나는 가끔씩
모두 보란 듯이
다짐을 했지만
그게 반드시
더 좋은 결과를
주지는 않았어
하나둘씩 가질수록
계속 허무해져가
별로 기쁘지 않아
마냥 끝이 보이지 않는
이 길을 그저 걷기만 하고 있어
oh i got no feelings anymore
내팽개쳐질까 봐 쉬지도 못해
yeah i got no feelings anymore
woo 뭔가 달라져야 해
왜지 대체 왜지
그래 말이야 내 얘기 좀 좀 들어줘봐
미술에 의류에 음악에 강의에
그 어느 때보다 쉴 틈 없이
잘 살아가고 있는데 뭔가가 이상해
지겹도록 반복됐던 일상들이 모여
지금의 나를 만들어왔는데
누구보다 열심히 노동하며
쳐진 피부를 어루만지며 살아가고 있는데
자기 전에 누워서
SNS를 보다 보면 뭔가 이상해 왜지
내 삶이 틀린 것 같애 왜지
다들 너무나도 화려하게 사니까
내가 뭔가 평범한 거 같애
점점 더 이상한 바보가 되는 것 같애 왜지
나 븅신된 거 같애
SNS를 볼 때마다 나 븅신된 거 같애 왜지
왠지 요즘은 다 재미없어
뭘 봐도 들어도 똑같은 기분
난 지금 얼마나 봤나 reels
하루에도 수백 개의 news
알고리즘의 바다에 풍덩
빠져 하루가 지나네 점점
더 큰 자극을 원하는 나
i need more and more dopamine
내가 누군지 넌 알아?
너가 누군지 난 알까?
이름도 모를 네 댓글에 나는
기분이 참 오락가락하더라고 왜지
원하는 거 보고 싶은 거 다 할 수 있는데
정말 내가 원하는 게 뭘까 뭐지
이제는 헷갈려 where's my real life
oh i got no feelings anymore
내팽개쳐질까 봐 쉬지도 못해
yeah i got no feelings anymore
woo 뭔가 달라져야 해
oh i got no feelings anymore
내팽개쳐질까 봐 쉬지도 못해
yeah i got no feelings anymore
뭔가 달라져야 해
왜지 왜지 왜지 왜지
자존감이 넘쳐흘렀었던 나였는데 왜지
나도 충분히 좋은 사람인데 왜지
나만 늙어가는 것 같은 기분은 왜지
왜지 왜지 왜지 왜지
왜지 왜지 왜지 왜지
어째서지 왜지
알고리즘의 바다에 말이야
뛰어든 이상 우리는 비교의 대상
자존감을 지켜내야 되는 게 우리가
넘어야 될 큰 산"
Candle in the Wind,"덥덥이(dubdubee), 마일드 비츠","한바탕 어둠이 휘몰아치고 난 뒤
뻐근한 어깨 움킨 채 맞이한 아침
오늘도 그렇지 피곤한건 불가피
그래도 이맘쯤 태양은 밝기만 하지
나와는 달리, 오늘도 짙은 다크써클
우습게도 보여지는 나는 다 큰 어른
나에게 나는 한없이 작은 모습
검열의 수위는 더 높아져 갈 뿐 성큼
아직 서툰 인간관계 안 이어져 인과관계
내게 건네는 모든 말들이 빈말 같네
의상 한 체 끝난 관계 내게는 한 트럭
아닌척했지만 이 겨울이 유달리 난 추워
내 마음 털어놓을 수 있는 사람 있어도
그 사람이 내 이야기 끝까지 비밀로 지켜도
난 털고 싶은 마음 뒤로한 채 고이 묻어둬
혹여나 내 부정적 감정 옮길까 두려워서
바람 앞에 촛불, 쉽게 꺼질 수 없어
가난만큼 고픈, 정신은 먼지로 덮여
피폐한 육신에 기름 더 들이붓지
지울 수 없는 기억 머리채 잡고 묻지
바람 앞에 촛불, 쉽게 꺼질 리 없네
바람 앞에 촛불, 쉽게 꺼질 리 없네
바람 앞에 촛불, 쉽게 꺼질 리 없네
단지 하나 담담한 고요를 원해
내 망막을 가득 채운 어둠
점차 두 발 간격이 좁아지는 걸음
비좁은 시선 내 처지는 병 속의 벼룩
스스로를 옥죄는 독한 기준 높거든 허들
꾹 참은 인내심 못내 터져 번지는 설움
못 담겠거든 내 유리그릇 적신 물거품
생각은 복잡해져 찌르는 가시넝쿨
내 속 모르고 건네는 위로는 '다 밑거름'
평생이야 평생, 내릴 방도 없는 그네
깊게 더 굳네, 이 끊을 수 없는 굴레
나약한 정신, 금세 벅차오르네 눈에
허나 단 하나의 결심, 한 톨의 씨앗, 희망 가슴 품에
세상이 날 재미 삼아 속일지라도
깃만 스치는 인연이 날 쓰고 버릴지라도
내 영혼의 불씨 끝끝내 지켜볼 테니
날 향한 기대 거두지 말길 믿어도 되니
바람 앞에 촛불, 쉽게 꺼질 수 없어
가난만큼 고픈, 정신은 먼지로 덮여
피폐한 육신에 기름 더 들이붓지
지울 수 없는 기억 머리채 잡고 묻지
바람 앞에 촛불, 쉽게 꺼질 리 없네
바람 앞에 촛불, 쉽게 꺼질 리 없네
바람 앞에 촛불, 쉽게 꺼질 리 없네
단지 하나 담담한 고요를 원해"
"Ambition (feat. BebaeK, KANGBIN)",캣츠파다,"Hoo 한눈팔아도 곧 다시 돌아와 잡는 mic
마음이 가난함 삶도 가난해져 all right
걍 주워듣고 내 걸로 만들어 yeah no lie
낭비 한 적 없고 또 논 적 없지 왜 놀라
Hoo 한눈팔아도 곧 다시 돌아와 잡는 mic
마음이 가난함 삶도 가난해져 all right
걍 주워듣고 내 걸로 만들어 yeah no lie
낭비 한 적 없고 또 논 적 없지 왜 놀라
하루가 다르게 흘러간 시간
점점 만들겠지 날 쌓이고 쌓여서 be mine
지갑도 배불러 너무 먹어서 비만
보다 빨리 행동해 잡아 힙합의 희망
아침에 일어나 뛰는 조깅이
수없이 생각해 남에게는 비밀
티는 안 내지 인스타엔 no caption
백이면 백이지 일어나 일찍
6개월 뒤 판도는 바뀌어
맨몸으로 race 불 붙여 라이터
너는 못 돼 내 라이벌
이게 너와 나의 차이점
Hoo 한눈팔아도 곧 다시 돌아와 잡는 mic
마음이 가난함 삶도 가난해져 all right
걍 주워듣고 내 걸로 만들어 yeah no lie
낭비 한 적 없고 또 논 적 없지 왜 놀라
Hoo 한눈팔아도 곧 다시 돌아와 잡는 mic
마음이 가난함 삶도 가난해져 all right
걍 주워듣고 내 걸로 만들어 yeah no lie
낭비 한 적 없고 또 논 적 없지 왜 놀라
랩 씬은 소용돌이
When i walk down street
곧 알아봐 날 legendary
새겨 내 이름 너희들 정신머리
허굿날 랩은 안 하고 클럽 길거리 yeah
반성해 임마
니들 술자리만 안 나가도 진짜 성공은 쉽겠다
It is real life
No love more 에너지
잠을 줄여 키운 내 랩 alright ?
G-shock에서 rollie
이건 뭐 애들 장난감인가
그녀에게 알려줘 사랑
계속 또 뱉으면 동네의 자랑 yeah
Yeah yeah
This game is ruined doubled 
This silly as rappers fruggle
Why do they always struggle ?
씨부려 대
Diamonds on my wrist
Understand your place yeah
Still im a kid yeah
ToX student yeah
Show me all the RAGE
Me all the RAGE 
Me all the RAGE yeah
Stuck at a day
Stuck at a day 
Stuck at a day yeah
We’re going levitate where my YOUTH 
Is going
Yeah where’s my dream 
Im gonna live in right
내가 원하는건 다
난 안바래 Rollie watch
I just wanna live my life
I’ll be spit it till I die
Till I die Till I die Till I die
Too many bish they want me to call
I really going stupid again
Broken and stucked
Im losing my love
Im lovin and lovin again
Do what I wanna go straight
Im still kickin P
If you deserve? Nahhh
Im on the list 
Hoo 한눈팔아도 곧 다시 돌아와 잡는 mic
마음이 가난함 삶도 가난해져 all right
걍 주워듣고 내 걸로 만들어 yeah no lie
낭비 한 적 없고 또 논 적 없지 왜 놀라
Hoo 한눈팔아도 곧 다시 돌아와 잡는 mic
마음이 가난함 삶도 가난해져 all right
걍 주워듣고 내 걸로 만들어 yeah no lie
낭비 한 적 없고 또 논 적 없지 왜 놀라"
어디 갔니(Feat.원업),Jose (호세),"어디 갔니 어디 갔어 어디 갔어
어디 갔니 어디 갔어 어디 갔어
놀고먹고 마시느라 내 지갑 또 비었어
내 돈 어디 갔는지
아는 사람 손들어봐
어디 갔니 어디 갔어 어디 갔어
어디 갔니 어디 갔어 어디 갔어
놀고먹고 마시느라 내 지갑 또 비었어
내 돈 어디 갔는지
아는 사람 손들어봐 에?
아이씨~~ 또 털렸네 내 지갑
돈 이 새끼는 성격이 지랄
내 계좌는 완전 아수라
이러니까 Yolo 들이
늘지 그게 맞아 음
버는데도 벌리지가 않어
내가 못 버는 건 떠벌리지 말어
나름대로 나도 저축하고 살아
배운 대로 그런데로 그래도
미래가 보이지가 않아
안 잡히는 Money
이렇게 언제 돈 버니 버니 버니
주옥같은 Money
돈 벌려면 멀리 보래
빤히 저 새끼보다 많이
어려워 왜 일하는가
뭘 원하는가 행복과 돈 사이
우린 자본주의의 전사
이러다간 허무하게 전사
돈이 다가 아니지만
돈 없이 뭘 할 수 있는가?
꾸준하면 된다는데
집 한 채가 얼마
이건 부정적인 게 아니라
현실적인 거야 임마
돈이 다가 아니지만
돈 없이 뭘 할 수 있는가?
꾸준하면 된다는데
집 한 채가 얼마
이건 부정적인 게 아니라
현실적인 거야 임마
어디 갔니 어디 갔어 어디 갔어
어디 갔니 어디 갔어 어디 갔어
놀고먹고 마시느라
내 지갑 또 비었어
내 돈 어디 갔는지
아는 사람 손들어봐
어디 갔니 어디 갔어 어디 갔어
어디 갔니 어디 갔어 어디 갔어
놀고먹고 마시느라
내 지갑 또 비었어
내 돈 어디 갔는지
아는 사람 손들어봐 에?
흥청망청 많이도 썼네
여름휴가 내내
돈을 모으고 모아도
주머니에 돈은 나가 매해
빠져나간 할부 값
내 지갑 상탠 메롱
[여보세요~? 저 “돈”여친
“지갑”인데 거기 “돈” 있나요?]
아뇨 “돈” 나갔어요
먹고 마시고 놀고
계산서를 확인도 안 하고
날아오는 문자
찍힌 돈을 보며 한숨 쉬고
그놈의 돈 돈 돈
텅텅 소리나 통장도
월급 받은 건 순간 뿐
후회해? 나만 힘들 뿐
집 나간 아이 찾아요 이름 Dinero
어디로 갔니 내 애물단지 Dinero
야 돈 돈 돈 이거는 알아둬
네 집 통장이 지금 Sick 해
어디 갔니 어디 갔어 어디 갔어
어디 갔니 어디 갔어 어디 갔어
놀고먹고 마시느라
내 지갑 또 비었어
내 돈 어디 갔는지
아는 사람 손들어봐
어디 갔니 어디 갔어 어디 갔어
어디 갔니 어디 갔어 어디 갔어
놀고먹고 마시느라
내 지갑 또 비었어
내 돈 어디 갔는지
아는 사람 손들어봐 에?"
그때에 우리의 사랑은 절대로 낭비된 사랑이 아닐 거야,LAD,"수많은 밤을 지새우고
수많은 날을 함께 하고
지났던 시간이 어느덧 내게
다가와 휑한 마음을 뚫었지
그때에 우리의 사랑은
절대로 낭비된 사랑이 아닐 거야
여전히 난 기억해
그때에 너와 날
그때에 우리의 사랑은
절대로 낭비된 사랑이 아닐 거야
가끔은 멍청하고
때론 본능적으로
어디 가고 싶어 Bae 
난 너와 함께였으면 해
난 그냥 네가 좋아서
뭐 그냥 그게 다라서
내 손 편지에 담긴 글씬 아직 낯설어
나와 함께 있을 때는 보지 말아 줘
때로는 뜨겁게 우리는 불태웠지
아쉬움은 없어
다음을 기약했지
흘렀던 시간이 어느덧 내게
찾아와 나의 풍경이 되었지
그때에 우리의 사랑은
절대로 낭비된 사랑이 아닐 거야
여전히 난 기억해
그때에 너와 날
그때에 우리의 사랑은
절대로 낭비된 사랑이 아닐 거야
가끔은 멍청하고
때론 본능적으로
후회 없이 사랑했고
깨달았던 수많은 것
만약 시간을 되돌릴 수 있다고 해도 난
그 버튼을 누르지는 않을 거 같아
사랑했던 모든 순간들이 날
결국 아프게 해도 놓지 못했던 찬란한 순간
땅이 꺼지고 하늘이 무너져 내릴 것 같던
재단할 줄을 몰라 솔직할 수 있었던
흘렀던 시간이 어느덧 내게
풍경이 돼 내 마음을 채웠지
난
그때에 우리의 사랑은
절대로 낭비된 사랑이 아닐 거야
여전히 난 기억해
그때에 너와 날
그때에 우리의 사랑은
절대로 낭비된 사랑이 아닐 거야
가끔은 멍청하고
때론 본능적으로
La la la la la la 
La la la la la la 
La la la la la la la la 
La la la la la la 
La la la la la la 
La la la la la la la la 
Yeah"
"Cheese Burger (Feat. Deepflow, Minos, DJ Son)",노아원러브 (NOAH1LUV),"I’m Heavy weight, XXL, Moby Deep 커진 몸에 피 끈적거려
대신 구수하게 낀 내 목에 비계 
잔뜩 기계 낀 니 식당에선 내가 옥에 티
일등급 고깃집 내 육질 좋은 poetry
스모키 한 비프 랩 잘 익어 흘러나온 침
달궈진 내 불판 안식어 쭉 늘어나는 치즈
난 더블로 쌓아 아니 부족하지 트리플로
편식 없이 피클 넣어 입 크게 벌려 씹어 먹어 실컷
번 크기를 부풀린 구라는 잠깐
약을 너무 친 로이더, 꽉 찬 내껀 자연빵
기본 지킨 레시피 to 클래식, Timeless
좋은 고기, 좋은 치즈, 더 좋은 비트와 라이밍  
싼 재료 감출 소스 뿌려 그 꼼수는 맛을 배려놨지
셰프 놀이, 남 배불릴 때 테이블 매너를 배워 다시
이 기본 지킨 레시피 노란 체다는 녹았니
좋은 고기, 좋은 치즈, Minos, Noa beat 
Yo! No Entrance Veggie
육식인 척하는 초식동물들 내 메인 디시
Yo! Lose your credit
니가 찍어 먹기엔 독한 딥 소스 그냥 뱉지
Yo! No Entrance Veggie
육식인 척하는 초식동물들 내 메인 디시
Yo! Lose your credit
니가 찍어 먹기엔 독한 딥 소스 그냥 뱉지
잘게 썰어 단어 다시 반죽 뭉쳐 담어
크게 한입 벌려 바로 베어 먹기 좋게 나눠 
여기 불판 갈어 kick &amp; snare 저울 무게 달어
우리 삼분 요리 타이머 울릴 때까지 못 참어
잘게 썰어 단어 다시 반죽 뭉쳐 담어
크게 한입 벌려 바로 베어 먹기 좋게 나눠 
여기 불판 갈어 kick &amp; snare 저울 무게 달어
우리 삼분 요리 타이머 울릴 때까지 못 참어
Say cheese
기본 충실한 이 맛만 딱 봐도 개쩔지
매끄럽지 않은 이름의 신메뉴는 다 과도 해
왠 뻘짓. 멕거핀 F*** that
So I'm proud of 내꺼, 이 스킬
매스터피스
입가에 다 묻은 소스 봐, 새끼 배터지네
Feels like Noise Mob
패티 색부터 백퍼 진해
흐르는 Juice 후르릅 후르릅
다 못닦어 Got your 크리넥스
Got the Cheddar
BiCCO야 I Got the BREAD, too
맛집 레서피네
약에 쩔은 몽타쥬
넌 무슨 맛도 이제 모른다구
구분 못하는 클래식 라인과 고리타분
오만하군, 니가 내는 맛이 뭔 오마쥬
Need a Rehab 공사중
필요해 진짜 치즈버거 오르가즘, 로다쥬
마시는 Dream Shake 하킴 올라주원
You're In a Pickle
치즈버거 사이 껴 혀마중
Who Shot Ya?
취향저격 연습 더 해 멀가중
튄 피로 물든 내 앞치마는 카모 플라쥬 Sucker
Yo! No Entrance Veggie
육식인 척하는 초식동물들 내 메인 디시
Yo! Lose your credit
니가 찍어 먹기엔 독한 딥 소스 그냥 뱉지
Yo! No Entrance Veggie
육식인 척하는 초식동물들 내 메인 디시
Yo! Lose your credit
니가 찍어 먹기엔 독한 딥 소스 그냥 뱉지"
메아리,Lil tatt (릴탯),"두꺼운 네 코트를 벗겨
내 마음속에 살아가도
이 밤이 오면 네가 오지만
하지만 난
 
나는 끝났어 약을 끊었고
새 침대 커버를 사버렸어
꽃처럼 피어나고
너를 기다리길 빌어 나는
나는 소리를 뱉고 메아리처럼
돌아오는 너를 빌어
이렇게 나를 잊어
내가 돌아왔어
전에 그 새끼는 내가 아니었어
내가 아니었어
그치 나는 소리를 뱉고
메아리처럼 돌아오는 너를 빌어
눈떠보면 새벽인데 왜 항상 아침은
어두운지 몰라
아이처럼 모든걸 어려워하지만
내가 뭐를 원한지도 너는 몰라
기다림은 없어 너에게도
아파 라는 말은 사실 인데도
Different something different
이 노래 끝이 어딘지도 너는 모를 거야
아물지도 않는 지금 어딘지도 모른대도
나는 끝났어 약을 끊었고
새 침대 커버를 사버렸어
꽃처럼 피어나고
너를 기다리길 빌어 나는
나는 소리를 뱉고 메아리처럼
돌아오는 너를 빌어
이렇게 나를 잊어
내가 돌아왔어
전에 그 새끼는 내가 아니었어
내가 아니었어
아무 말도 하지마
나는 너한테 아무것도 아닌 존재지만
바보 같은 소리 하지마
나는 너만 보니까
이틀째 밤을 새도 너만 생각 나니까
아무렇지 않은 척을 해도 나는 너만 보여
니가 나를 떠났지만 너는 나를 속여
고이 간직했던 기억 속에 너를 다시 녹여
다시 한번 와달라고 너를 다시 속여
아무것도 없네
너를 다시 원해
다시 널 기억해
너를 다시 잊네
한 알을 또 삼키네
어제 기억 또 찾네
아무것도 없네
너를 다시 원해
나는 끝났어 약을 끊었고
새 침대 커버를 사버렸어
꽃처럼 피어나고
너를 기다리길 빌어 나는
나는 소리를 뱉고 메아리처럼
돌아오는 너를 빌어
이렇게 나를 잊어
내가 돌아왔어
전에 그 새끼는 내가 아니었어
내가 아니었어
아무것도 없네
너를 다시 원해
다시 널 기억해
너를 다시 잊네
한 알을 또 삼키네
어제 기억 또 찾네
아무것도 없네
너를 다시 원해"
Have a good time (Feat. Geek J),Lil tatt (릴탯),"나 원하지는 않았지만 움직여야 해 move
구름 같아 이별은 내게
아무리 힘들지만 good time
소문은 moon light
잘 자요 good night
내가 버린 밤은 너의 낮이야
Mmmm 네가 보고 싶지만
Mmmm 네가 보고 싶은 날
Mmmm Mmmm
아무리 돌려도 네 이야기가 나오잖아
Mmmm have a good time
Mmmm have a good time
Mmmm Mmmm
잘 자요 good night 이게 내가 해줄 말이야
얼마 되지 않아
사랑하는 사이 같아서
나를 바라보는
넌 말이 많아
얼마 되지 않아
봄에 사랑 같은 바람
아물지도 않아 그치 너는 말해 됐어
쌓아 벽 같은 너는
아물지도 않았잖아
나는 너를 믿거든
아물지도 않았잖아 나는 너
거짓말 믿지는 말아
날 비추는 꽃처럼 사라지다가
나를 바라보는 너는 너무 아름다워
이별이란 말이 아까울 정도였어
기다림은 없지만 꽃처럼 피어나는 말
너는 날 나는 널 기다린 적 없어
Mmmm 네가 보고 싶지만
Mmmm 네가 보고 싶은 날
Mmmm Mmmm
아무리 돌려도 네 이야기가 나오잖아
Mmmm have a good time
Mmmm have a good time
Mmmm Mmmm
잘 자요 good night 이게 내가 해줄 말이야
I will run away 거칠어진 여기
너무 무서워 어려워 내게
얼었네 도망친다는 게 병처럼 여겨 철없게
그럼 철없게 도망친 다음
또 망친다면 너처럼 내가
못하지 멍청한 생각은 제발 멈춰
꿈은 버려 이제 바깥으로 나가 먼저
돈을 벌어 이제 아파트 갖추고 멀쩡한
현실을 봤어 이제 떠나지 도망쳐 먼저
I will run away 거칠어진 여기 이제는 멈춰
현실을 봐 이룬 게 널 멈춰 이대로 run
신에 받은 재능 없어도 이대로 run
시계와 반대로 가야지 이대로 run
날 기억할 이도 없어 더 이대로 run
Mmmm 네가 보고 싶지만
Mmmm 네가 보고 싶은 날
Mmmm Mmmm
아무리 돌려도 네 이야기가 나오잖아
Mmmm have a good time
Mmmm have a good time
Mmmm Mmmm
잘 자요 good night 이게 내가 해줄 말이야"
J,LEON (딥상어),"다 의미 없어
너가 좋아하던 것들
너가 싫어하던 것들 그마저
다 의미 없어
주고받았던 편지들
설레어서 잠 못 들던 밤마저도
""Oh love like this""
전부 다 사라져만 가
우리 사랑은 종이처럼 다 구겨져만 가네
넌 어떻게 그렇게 아무렇지 않은지
어떻게 잊어 널 아직 사랑하는데
눈을 감아도 너무 보고 싶은데
넌 어떻게 그렇게 아무렇지 않은지
못 잊어 널 아직 사랑하는데
눈을 감아도 너무 보고 싶은데
넌 도대체 나에게 무슨 짓을 한 건지
2억 짜리 Mercedes
한강이 보여 집에
너 없이 너무 횅해
텅 빈 거실에
채워줘 너의 온기
필요해 너란 공기
I miss my darling 
Baby oh just tell me 
what you're looking for 
하나도 재미없어 하루도
어떻게 보낼지도 모르고
다시 돌아와 줘
그래 그날처럼
우리 사랑한 날처럼
어떻게 잊어 널 아직 사랑하는데
눈을 감아도 너무 보고 싶은데
넌 어떻게 그렇게 아무렇지 않은지
못 잊어 널 아직 사랑하는데
눈을 감아도 너무 보고 싶은데
넌 도대체 나에게 무슨 짓을 한 건지"
매력 (beat drum),온유 (ONEW),"복잡한 도신 Noisy 
그 속에 너를 Findin' 
네 곁에 있을 땐 
뭔가 다른 비트가 울려
첨 만났던 순간
마주한 모든 순간 
빠르게 뛰는 심장 Umm
 
Just a moment 
가까워질수록 선명해져  
또렷한 너만의 Beat  
날 보고 웃어주면 너 말고는   
무너져가
 
Woo 네 매력  
Kung kung tah 맘을 때려    
뒤엉킨 날 휘어잡아
Woo 설레이는 맘
Woo 네 매력
쿵쿵 묵직한 매력
계속돼 난 빠져들어
Woo 네 리듬에 난
 
지금부터
Ta la da d d da da da
몸을 맡겨봐
모두 함께
Ta da da d d da da da
즐기는 거야
 
So play it loud, play it loud
Volume up, 크게 Loud
빨라지는 Tempo는 Goin' wild
묵직한 Bass kick
계속해 때려대
네가 연주해 My heart
머리끝부터 발끝
모든 게 너의 매력
반응해 계속 My heart
My heart
 
Just a moment
어지럽고 조금 아찔해도
느낌이 좋아 지금이
내 손을 잡아주면 너 말고는
잊혀져가
 
Woo 네 매력
Kung kung tah 맘을 때려
뒤엉킨 날 휘어잡아
Woo 설레이는 맘
Woo 네 매력
쿵쿵 묵직한 매력
계속돼 난 빠져들어
Woo 네 리듬에 난
 
지금부터
Ta la da d d da da da
몸을 맡겨봐
모두 함께
Ta da da d d da da da
즐기는 거야
 
다시 한번
Ta la da d d da da da
모두 던져봐
너도 같이
Ta da da d d da da da
Let me hear you say
널 더 맡겨봐
Like a beat drum, love
I love this play girl, now play on
네 매력 매 매력 Yeah
매력 매 매 매력
매력 매 매 매력
매력 매 매 매력
 
더 빠져들어 Yeah"
변화 (Feat. 이승후),텐아워 (Ten Hour),"어디로 갈지 길잃은 젊은이
어깨 위에 짊어진
짐 들을 같이 공유해줄 company
없이 혼자서 보내지
묵 대신 냈던 보자기는
가위 보다 승패에 목매지
한두 번은 쉽게 이길지 몰라도
결국에는 지겠지
지겹도록 듣던 잔소리도 
지긋지긋 해 한 귀로 흘리지
개똥으로 알고 넘겼더니
필요로 할 땐 또 disappear
사라져 (far) 깊숙이 (deep)
너와 나의 갈고리
끊어져 (cut) 저 멀리 (go)
Run away go fly away
배신할 땐 내게 기대
나 그거 잘 알아 편 가르기
버릴 테니 남겨 편지
내 친구들이 다 거기
배신할 땐 내게 기대
나 그거 잘 알아 편 가르기
버릴 테니 남겨 편지
내 친구들이 다 거기
Why you hate me?
Why you like me?
우린 이게 너무 쉬워
배신 뒤에 걸어 체인
Why you hate me?
Why you like me?
우린 이게 너무 쉬워
배신 뒤에 걸어 체인      
You run away fly away
run away go fly away
You run away fly away
run away go fly away
You run away fly away
run away go fly away
You run away fly away
run away go fly away
필요할 때만 찾았네
필요 없으면 버렸네
반의반도 못 해줬는데
많은 것들을 받았네
정을 쉽게 주지 못해
다들 떠나갔지, my friends
이기적으로 살다 보니
다들 적으로 변했네
삶이 좀 바뻐 (다들 그래)
핑계만 늘어 (fuck that shit man)
사람이 싫어 (너 왜 그래)
나조차 내가 싫어지네
나도 알아 이러면 안 돼
혼자서 살아갈 순 없네
뻔히 안 되는 거 알면서 왜
인간 쉽게는 안 변하네
My bad my bad 내 잘못이고
나이테 나이테 줄 그려졌네
나이 때 나이 때 후회도 이미
too late too late 돌릴 순 없네
나 이제 나 이제 변하고 싶어
받은 만큼 주고 싶어
잔소리도 듣고 싶어
전부 이겨낼 수 있다 믿어
배신할 땐 내게 기대
나 그거 잘 알아 편 가르기
버릴 테니 남겨 편지
내 친구들이 다 거기
배신할 땐 내게 기대
나 그거 잘 알아 편 가르기
버릴 테니 남겨 편지
내 친구들이 다 거기
Why you hate me?
Why you like me?
우린 이게 너무 쉬워
배신 뒤에 걸어 체인
why you hate me?
why you like me?
우린 이게 너무 쉬워
배신 뒤에 걸어 체인      
Don’t run away fly away
run away don’t fly away
Don’t run away fly away
run away don’t fly away
Don’t run away fly away
run away don’t fly away
Don’t run away fly away
run away don’t fly away"
