제목,가수,가사
WING (Feat. CK),SINCE,"Wing, wing 
알아서 잘 가, 방해 마, f**k out of my face
Wing, wing 
아가리 털어댄 새끼들, where u at?
Wing, wing 
Manual 없이 만들어, 난 full of pocket
Wing, wing 
떼라도 못 떼, 내 이름의 Tag
Wing, wing, wing 
관심 없어, 네 Picket
Wing, wing, wing 
쳐다만 봐, 내 시계
Wing, wing, wing 
내 기준으로 Pick 해
Wing, wing, wing 
목적지가 확실한 Ticket 
Who you are
I don't know, 이제 와 숟가락 올리려 노력이 많아 
난 손가락 빨아도 거지처럼 거저먹지는 않아
내 과거를 아는 게 유일한 자랑 
과정은 멋대로 생략하고선 해 자만   
되려 내 옆에 남아있는 사람들 
현재까지도 나누고 살아
*될지도, 그런 말은 나의 시도를 
막지 못해 네 야망은 티코
난 안 꺼 시동 
더 높게 세워내 기록  
50kg의 165 국보 MC로 길막하는 것들
육시로 해버려 깨버려 
네게는 옛정이 있다해도 
비록 내 삶엔 없지 Shadow 
Only 발끝에 Rick shadow
한길로만 가는 행보 
발전 없는 것들은 코인처럼 횡보 
갈수록 많아져 도움보다는 
돈을 받는 일들이 쇄도
눈 밑 가끔 Jack Sparrow
But 초점은 정확 like Canon
Wing, wing 
알아서 잘 가, 방해 마, f**k out of my face
Wing, wing 
아가리 털어댄 새끼들, where u at?
Wing, wing 
Manual 없이 만들어, 난 full of pocket
Wing, wing 
떼라도 못 떼, 내 이름의 Tag
Wing, wing, wing 
관심 없어, 네 Picket
Wing, wing, wing 
쳐다만 봐, 내 시계
Wing, wing, wing 
내 기준으로 Pick 해
Wing, wing, wing 
목적지가 확실한 Ticket 
달아줘 Wings
다리 다친 제비같이
심고 다니지 나는 박씨
너는 까기 바빠 호박씨
늘어나는 돈은 끊어내기 힘들더라
나는 다 Feel it like cheese
너는 나보고 초심을 가지래 
거지가 되라고? 어이없긴
나 조강희 버젓이 버텨내 Finally made
압구정은 여전히 조심해 Wait
비싼 옷은 아직도 아까워 Babe
내 사람들 챙긴 뒤에도 No Late
Late, 아가리 해 늦은 건 없어 난 이뤄내
비참한 인생 그건 바꿔줘 수많은 Cash
Yeah, 난 전부 다 사줄래 엄마한테
Damn, 내 삶은 다 변해 정반대
체험 내가 다 느끼게 해줄게
태워 난 열심히 내 사람들을 다 태워 
Wing, wing 
알아서 잘 가, 방해 마, f**k out of my face
Wing, wing 
아가리 털어댄 새끼들, where u at?
Wing, wing 
Manual 없이 만들어, 난 full of pocket
Wing, wing 
떼라도 못 떼, 내 이름의 Tag
Wing, wing, wing 
관심 없어, 네 Picket
Wing, wing, wing 
쳐다만 봐, 내 시계
Wing, wing, wing 
내 기준으로 Pick 해
Wing, wing, wing 
목적지가 확실한 Ticket"
MECHANISM,SINCE,"24 Dancing in TikTok
Viral 위해서 발을 굴러 Like 킹콩
그게 틀리다고 묻는다면 난 Zip-lock
살아남기 위해선 Better than 집콕
뛰어야 되겠지 발로
어떻게든 곡을 팔러
맛볼 수도 짭짤한 달러
근데 왠지 내 발엔 안 감겨
다른 수가 있냐 묻는 친구에겐
씩 한번 웃고 말았지 
내가 할 수 있는 짓
RAP 이거 말곤 없으니
이마저도 못하면 난 Rest in peace
내 팔다리 잘려도 혓바닥은 못 내놔
차트 메카니즘 없이도 해내는 좋은 예가
되고 싶은 게 내 대안, 누군가에게는 혜안
누군가에겐 지나친 이상주의자의 재앙
좋은 음악, 좋은 가사, 그것보단
얼마나 벗었나에 눈이 쏠려
조회 수가 몇인가에 따라
누를지 말지 결정하는 건 놀랍지도 않아
이해하는 건 나만 괴로워
또 이해를 받기엔 아직 많이 외로워
방향제에 취할수록 몸에 해로워
난 그저 내고 싶을 뿐, 다른 페로몬 
Now look what I headed to
Now guess my attitude
Now look what I headed to
Now look what I headed to
Now guess my attitude
Now look what I headed to
복잡하게 계산 못 해, 난 Straight type
랩 하나로 해결하는 CAPA
내 메카니즘대로 돌려 계 타
다 쏟아내서 안 나지 배탈  
믿음 깨졌음 했겠지 배달
줏대 없는 새끼들이나 깨져 Mental
뻐기는 거라곤 Rental
티 내기 바빠 벌스는 재탕 
빨리고 싶지만 없는 설득력에 줘도 안 들어 
하지 못하는 걸 안 하는 거라 
믿어 대니 입에선 싸구려 푸념
발이든 대가리든 굴리고 봐야지
왜 가만히 앉아서 아니꼬운 듯이 굴어
기회조차 가지기 어려운 놈들에게
들려주기엔 과분해 보이지 내 구절
Now look what I headed to
Now guess my attitude
Now look what I headed to
Now look what I headed to
Now guess my attitude
Now look what I headed to"
"볼티지 (feat. 라이언클래드, MMDDYYYY)",메타.,"더는 바랄 게 더 없으니
내 마음은 신나지
내 에너진 충분히
더는 바랄 게 더
Undergone
Furthermore, for sure, that's mine
이따금씩 잊어도
Whisper sweet nothings in my ear
끝끝내 내 눈은 오류 같던 기억에 닿아
Undergone
Your love for me runs so deep
Whisper sweet nothings in my ear
끝끝내 내 눈은 오류 같던 기억에
또는 그래 나도 돈과
이름 석 자, 깊게 박고 피시식 웃고 다 놓을까
지금 같은 리스펙, 막 퍼주는 건 넣어놔
'반드시 되고 말 거야, 탑 보이'
그 메시지, 쌓아왔었지 공고히
객기로 뱉겠지
손에 있는 거 놓으면 다 필히 싸구려 소울만
미리 제 얘기 해 준다며 짜가 아가리 도움말
도움말, 길이 아님 대기 go sign
스트릿 포식자들 넘쳐, 한계치의 포화
도움말, 한계가 있으니 고까이
아도의 끝은 존망
근데, 아직까지도
버리네 나에게 뭔가
죄의식에 쌓인 건 뭐인지 난 몰라
하려는 말에 어려움이 있네
함구한 무거운 입을 열고 이제
Undergone
Furthermore, for sure, that's mine
이따금씩 잊어도
Whisper sweet nothings in my ear
끝끝내 내 눈은 오류 같던 기억에 닿아
Undergone
Your love for me runs so deep
Whisper sweet nothings in my ear
끝끝내 내 눈은 오류 같던 기억에
넌 풀린 입을 놀리지
고생? 지랄, 하루 걸러 노는 일
이따금 토스 잡는 일
때릴 거면 언제 때려? 토 나오는 놀음이
I couldn't hear what you're saying
텅 빈 방의 잔향 때문이었나
폭발하기만 기다렸었던 걸까
You see how it'll turn out to be?
말을 하지 못해 내겐 더 썩은 것
속으로 '미련에 대해'
한 꺼풀 덜어내 맘껏 드러낸 매력에 대해서
솔직한 아이러니, 고백은 필연이 되어
어느새 말을 안 해도 난 순결해지네
생존 아니면 멈춤
생존하는 건 검증
생존하는 걸 모으면
다 생명이라는 것을
난 생겨난 모든 걸 안고
새로 태어난 거품
흑백으로 바뀐 로파이에
생기나는 걸 덮음
내 손에 잡힌, 더욱더 더 많이
순서 뒤바뀜, 처음부터 끝까지
시간의 농축, 에너지는 고조
이 보존의 법칙, 내 본질은 모조"
BLACK! (feat. 노윤하),컬리 (Curlly),"(Keep Curlly)
잠에서 깼어, 내 통장의 돈 메꾸는 랩, 되지, 본업이
이 바닥이 글렀다는 놈, fuck you, 난 연구해, flow, top wannabe
내 거는 외국에, 생김새도 외국인, 출생은 전주에
뺏을게, 국힙판의 현 주인, 뱉어 놓은 말은 지켜, 없지, 후회
Ay, new face, 못 알아본다면 넌 stupid
지구가 돈다는데, 두뇌 회전 둔해, 편하겠지만 뻔해, looping
오바이트한 거 싹 다 치워, 챙기고 다니지, 비닐봉지
넌 언제나 까이지, 헌팅 포차 (No way) 그 반면에 Curlly는
여전히 back도 없이 전진, 도, 개, 걸, 윷, 모, 발자취
Ay, Sharapova나 치는, ay, 묵직한 flow 받아 치지
티 한 장 걸쳐도 spit, hot 뜨거워 like summer, nature born
돈 안 써도 black, 알면 say no more
또 해내, 이놈이, 지금 시작이야, wait a minute
원하지 않았던 세일러맨, 역학 공부했던 놈은 됐지, entertainer kid
될 놈은 이제 바겐세일 없지, 아무 말 뱉어도 kitsch하게 넘기지
De-esser 박아도 치찰음이 nice appeal (Keep Curlly)
Uh-huh, uh-huh, 엄마 배 속에서 태어났던 baby
꼬여버렸지, 계속 배배, 여전하게도 내 발길은
Straight (Straight, okay) 느낌을 내지, 레드썬
긴 잠에서 깼어, 내 건 원어민 패치, 거칠게 뱉는 숨소리는
Black, uh-huh, uh-huh, 거칠게 뱉는 숨소리는
Black, uh-huh, uh-huh, 거칠게 뱉는 숨소리는
Black, uh-huh, uh-huh, 거칠게 뱉는 숨소리는
Black, 거친 내 숨소리는 black, 거친 내 숨소리는 black
Blazer spit it out, 새겨, my role, step over, 왔다가 갔다가, nope
이 새끼 또 준비하고 있어, get dough, 스펙에다 적어, 온갖 구라들, whoa
네 옆에 있는 새끼들 전부 다 hoes, 네 곁에 있는 오빠들 전부 다 hoes
얘 다리 꼰 것 좀 봐, 술 따라, host, 참 분위기 다 망치고 있어, 클럽
Plug 아닌데 trap 해, yeah, smoking up 안 하고 랩 해, yeah
쟨 싸구려 피고 내, 생색, 나 감기 걸렸을 때 빼고는 no 캑캑
23일 받아, payback, 내 outfit 변신해 like Ben 10
지폐에 깔려서 쳐, tap, yeah, 사실 그 정도는 아니야, not yet
Not yet, 말해봐, 누가 내 앞에 있어, 진짜로 하나도 없다니까, goddamn
Stop playing, 앞에서는 아무 말도 못 해, 다 뱉어, 여기에 랩으로 답해
제대로 못 할 거면 stop right there, 여기 사람들 진짜 안 착해
씹새끼들 사이에서 안착해, 정신 똑띠 안 차리면은 관짝행
Whoa-whoa, whoa-whoa, 엄마 배 속에서 태어났던 baby
꼬여버렸지, 계속 배배, 여전하게도 내 발길은
Straight (Straight, okay) 느낌을 내지, 레드썬
긴 잠에서 깼어, 내 건 원어민 패치, 거칠게 뱉는 숨소리는
Black, uh-huh, uh-huh, 거칠게 뱉는 숨소리는
Black, uh-huh, uh-huh, 거칠게 뱉는 숨소리는
Black, uh-huh, uh-huh, 거칠게 뱉는 숨소리는
Black, 거친 내 숨소리는 black, 거친 내 숨소리는 black"
LIFE GOES ON (Feat. 레게 강 같은 평화),BMK,"살아보면 사라지고 살게 되고
환하게 웃기도 해
아프게 울기도 해
돌아보면 아무도
다시 만나기로 해
앞으로 가야만 해
Brother 잠은 좀 잤어
그래 나도 얼마 못 잤어
모르겠어 잠 못 든 이유도
이렇게까지 불안했던 이유도
오늘이 내게 가장 어두운 하루였고
내일에 대한 기대감 또한 Zero
세상이 날 몰라줘도
I don't give a what
나답게 살다 보면 뒤를 따라오는 법 
살아보면 사라지고 살게 되고
환하게 웃기도 해
아프게 울기도 해
돌아보면 아무도
다시 만나기로 해
앞으로 가야만 해
그날 그 밤 그댄 울었고
나는 그만 아무 말 못 했고
그렇게 끝나 버린 젊은 날의 추억들
몰랐었어 떨고 있던 그대 손
다 괜찮다고 말해줄 걸 그랬어
모두 지나갈 뿐인데
어렸을 땐 몰랐고
알았을 땐 늦어
한가지 알게된건
다 지날 뿐 이란걸
살아보면 사라지고 살게 되고
환하게 웃기도 해
아프게 울기도 해
돌아보면 아무도
다시 만나기로 해
앞으로 가야만 해
어느샌가 해가 뜬다 밤을 센다
하루를 그리는 사이
아침이 밝아오네
지나갔던 계절도
다시 돌아오는데
아쉬워 말기로 해
돌아보면 아무도
다시 만나기로 해
앞으로 가야만 해"
All Eyes On Me,Futuristic Swaver,"그게 당연한거고 옳은 일이 아니래도
난 욕심에 지배당해서 같은 실수를 해
지금 내가 내 삶을 180도 바꾼대도
과연 행복할수 있을지부터 생각해
사실은 나는 애초에
그럴 마음이 없기에
누가 곁에 있어도 여전히 lonely
날 잡아주기를 원해
근데 자유롭고 파 동시에
baby i'm sorry
you're not my one &amp; only
( you're not my one &amp; only)
(친구사이라도 날 잡아줄 순 없니)
난 다른 기분에 집착하면서 살어
망가진 삶은 쉽게 바뀌지를 않어
돈이 안되는 얘기엔 두귀를 닫고
할일이 없어도 이런저런 핑계로 미뤄 약속
비련의 여주인공처럼 변한 내 인격
살다보면 중요한걸 난 너무 쉽게 잊어
한때는 누군가를 나도 동경했었지만
이젠 그럴 여유조차 없이 모든게 질러
i'm bad to the bone 이세상의 모든것이
내 맘처럼 돌아가지않기에 i'm getting dumb
가진게 아무것도 없어도 i still gotta floss
속으론 울고싶어도 ig에선 이쁜척 v^____^v
과거와 현재, 미래를 위한 경쟁
대신 내 숨통을 틔여 줄 관심이 더 필요해
kotchinioide hitorininattaraLonely날 이해할수 없었기에 떠났어 모두가 멀리
너만은 날 버리지 말아줘
내가 실수를 해도 모른 척 눈감아줘
날 감당할 자신이 없다면
애초에 내게 제발 다가오지말아줘
그게 당연한거고 옳은 일이 아니래도
난 욕심에 지배당해서 같은 실수를 해
지금 내가 내 삶을 180도 바꾼대도
과연 행복할수 있을지부터 생각해
사실은 나는 애초에
그럴 마음이 없기에
누가 곁에 있어도 여전히 lonely
날 잡아주기를 원해
근데 자유롭고 파 동시에
baby i'm sorry
you're not my one &amp; only
( you're not my one &amp; only)
(친구사이라도 날 잡아줄 순 없니) x3
(narr.)"
Lif3style (Feat. Skinny Brown),Futuristic Swaver,"삶이 소중한 이유는 언젠가 끝나기 때문에
삶이 아름다운 것은 유한하기 때문에
끝을 인식하고 다시 돌아볼 수 있을 때, 비로소 돌아본 그 자리에 의미가 생긴대
I do the same
i never change
이 끝없는 싸움대신 대화를 원해
Sippin on drank
Numb to this pain
So i can keep smillin
Sorry for my family &amp; friends
다 내탓이야
약해서 미안
다 부질없지만
이게 내 최선이야
날 위한다고 해도 내 귀엔 개소리야
약해서 미안
약해서 미안
난 질것같아
미칠거같아
이 생을 떠난 다음에야
쉴것같아
이게 아닌것같아
이게 아닌것같아
난 느껴져 내가 변했다는 눈빛
So I'm back on my bull shit
오갈데없는 이 도시속에서
잊어 내가 누군지
누군가가 내게 물어봐도 쉽게 답할수 없지
난 아무런 근거없이
날 음악만 하게 만들었지
그래서 한평짜리 내 작업실에
내 몸 하나만 누웠지
내게 많은 힘이 있어도
금방 사라질까봐 두려워
누군가 곁에 있어도
속마음을 말하기 힘들어
문득 거울을 보면
그안에 내가 낯설어
돌이켜보면
후회되는거만 보여
갈 길이 너무 멀어
끝이 어딘지 마저 안보여
I do the same
i never change
이 끝없는 싸움대신 대화를 원해
Sippin on drank
Numb to this pain
So i can keep smillin
Sorry for my family &amp; friends
다 내탓이야
약해서 미안
다 부질없지만
이게 내 최선이야
날 위한다고 해도 내 귀엔 개소리야
약해서 미안
약해서 미안
내 안엔 나보다 돈이 더 많아
혹 아픔만 받아놓고 행복을 주려 해
이런 개 멍청한 사람
내가 너무나 착하니까 온 정신착란
누구들은 간단하게 대하고 대칭송 받아
I can't understand it, 걔넨 stand under me
날 바꾸려 해 average, 난 했었지 wondering
이제 관심없어 comparing
let my speaker sing
다 부질없는 짓
노래 불러 like this
오늘이 지나면 어제 나는 진 것 같아
정신줄 놓으면 다시 전으로 돌아갈 것 같아
내가 막연하게 믿었던건 그저 방법 하나
그저 하면 되는 줄 알았던게 다시 생각이 나
지금 나에게 살아있냐 물으면 난 대답 못해
아마 말없이 저어대고 말꺼야 난 그저 고갤
있어도 있지 않아 좋은 삶은 마지막까지 속에
내 반대로만 걸어가 거긴 천국이야 너와 또 모두의
I do the same
i never change
이 끝없는 싸움대신 대화를 원해
Sippin on drank
Numb to this pain
So i can keep smillin
Sorry for my family &amp; friends
다 내탓이야
약해서 미안
다 부질없지만
이게 내 최선이야
날 위한다고 해도 내 귀엔 개소리야
약해서 미안
약해서 미안"
Havin My Way,NSW yoon,"괜찮아질 거야 분명 이 모든 게
엄마가 말해 우린 강해 아들 힘을 내
미소를 한번 지어주고 올라가는 stage
포기는 없기로 해 약속해 너에게도
Just havin my way
Just havin my way
안 따라갔지 대본
느낌대로 애드립 중
TPM on the road
생겼어 이제 식구
클리셰지만 이쯤에서 동창 연락을 씹고
번 돈을 어디에 어떻게 쓸 것인가 집중
그치만 눈앞의 문제는 지워지지가 않아
내 사람들이 나를 찌르는 게 가장 아파
악 소리는 목구멍에서 나오려다가 참아
빗방울이 거세져 챙겨 나왔지 umbrella
할 수 있는 게 havin my way 요것밖에
넌 키보드나 tap 그것밖에
거울 속의 scarface, avalanche
인천 놈을 기다리는 세상 앞에
괜찮아질 거야 분명 이 모든 게
엄마가 말해 우린 강해 아들 힘을 내
미소를 한번 지어주고 올라가는 stage
포기는 없기로 해 약속해 너에게도
Just havin my way
Just havin my way
Why you mad as f*ck
내가 아녀서 화났나 봐 general
새 노래를 썼지 스카이빌 in seoul에서
그치만 party는 무조건 인천에서
오술차 사장님 또 내 brother 몇 명 인천에서 만나면
기쁜 감정에 대한 미소
엄마를 보내기로 했잖아 서창2동
풋살장 밑에 단독주택가로, 약속 지켜
만수에서 보던 친구들도 miss you
아쉬운 건 그때 우리 열정 어딨어
1평에서 땀 냄새 가득했던 시절이
몇십 평에서 에어컨이 환기시켜
괜찮아질 거야 분명 이 모든 게
엄마가 말해 우린 강해 아들 힘을 내
미소를 한번 지어주고 올라가는 stage
포기는 없기로 해 약속해 너에게도
Just havin my way
Just havin my way"
뭐 어떡할까,기리보이,"뭐 어떡할까
눈물이라도 보여줄까
속물이라도 되어 줄까
차라리 아니 내가
너를 만나 나는 점점 미쳐가고 있어
꾸역꾸역 뭔가 참아내고 있어
내 속에 가득한 너를 밀어내며
나는 굳이 사서 고생하려 해
사랑이 아냐 너는 뭔가 착각하고 있어
우린 좋을 때만 사랑이잖아
그냥 내가 나쁠 테니 너는 좋은 사람으로 남아
죄책감과 나를 버리고 너로 돌아가
미운 정에 끌려 다니기엔
내 목줄이 다 끊어졌네
내가 더 잘할 게라 하는 너를 잘해줄 수 없어 난
너도 이제 나를 벗어나
뭐 어떡할까
눈물이라도 보여줄까
속물이라도 되어 줄까
차라리 아니 내가
뭐 어떡할까
눈 감고 한번 속아줄까
죽는 꼴이라도 보여줄까
차라리 아니 내가
뭐 어떻게 너 앞에서 나 절이라도 할까
유치하게 네가 했던 짓 똑같이 할까
참는 것도 한계야 난 나의 몸은 한 개잖아
너는 두 새 개쯤 된 것처럼 살아
내 친구가 너 봤다는 말들 어떻게 설명할래
진짜 이런 말싸움도 지쳐 이제 그만할게
우린 운명으로 시작해서 이리 끝날 운명
이런 얘기 하니 넌 또 울고
우린 아름다운 지뢰밭에 갇혀 있는 거야
그냥 여기 한 발자국 떠나기가 힘든 거야
딱 한 번의 용기로 평생이 더 기쁠 거야
벗어나면 자유로울 거야
뭐 어떡할까
눈물이라도 보여줄까
속물이라도 되어 줄까
차라리 아니 내가
뭐 어떡할까
눈 감고 한번 속아줄까
죽는 꼴이라도 보여줄까
차라리 아니 내가
싸울 거리도 이제 다 떨어졌어
미안해 더 이상 화낼 힘도 없어
너는 떠나가다가 또다시 멈춰서
다시 멈춰 서서
나를 보고 있네
우리 눈을 멀게 한 그 나쁜 추억 속에서
바보 같은 웃음을 지으며 허우적
그걸 안줏거리로 만들어 맛있게 곱씹어
안녕 우리 찬란했던 시절
뭐 어떡할까
눈물이라도 보여줄까
속물이라도 되어 줄까
차라리 아니 내가
뭐 어떡할까
눈 감고 한번 속아줄까
죽는 꼴이라도 보여줄까
차라리 아니 내가
뭐 어떡할까"
거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz),"거리에서 내 노래가 나와
배낭 메고 여행이나 갈까
지나고 보니 시간은 참 빨라
어떻게 너가 다른 남자를 만나
거리에서 내 노래가 나와
텅 빈 가슴을 채웠었지, 야망으로 (야망으로)
어떻게 너가 다른 남자를 만나
Ay, girl, how you do that?
도대체 어떻게 그래
내게로부터 You running away
잡으러 갈 거야, 내 노래들이
너가 남자랑 둘이 있을 때
들리게, 내 목소리
혹시 그 사람이랑
잘 돼가는 중이었다면 미안해, Sorry
Oh, yeah, 일어나면 축제
Oh, yeah, 급하다 급해
Oh, yeah, 웃어, 짓궂게
그리울 일 없게 일을 해야겠지
Yeah, racks on racks
두르지, Chanel bags
너가 원하던 게 이제 다 있는데
이 내용마저 클리셰야
질척거리는 게 나는 취향인가 봐
다 지나고 아픈 거, 이게 후회인가 봐
그냥 접어서 넣어 전부 상자에다가
나중에 시간 되면 한 번씩 꺼내봐
거리에서 내 노래가 나와
배낭 메고 여행이나 갈까
지나고 보니 시간은 참 빨라
어떻게 너가 다른 남자를 만나
거리에서 내 노래가 나와
텅 빈 가슴을 채웠었지, 야망으로 (야망으로)
어떻게 너가 다른 남자를 만나
여전히 거기 있을 텐데
못 지운 사진이 수백 개
지우려고 하면 지우려 할수록
이쁜 것도 전부 구겨질 텐데
그 XX보다 내가 못 한 게 뭐야
나는 밤새 너를 지켰지, All night long
다시 와주길 바란 소파
너 빼곤 그대로 있어, 정말로
빛이 쏟아 내리던 날
너는 나의 손을 잡았고
영원할 것처럼 말한
‘Let's just stay one more night’
말뿐이었잖아
Black rose in my heart
변해버린 너와 나
With my broken heart
질척거리지 않을게, 다시 돌아와
다 끝났어, 아프고 너도 후회하잖아
지난 추억들을 꺼내볼까 너와 나
이 노래들 전부 다 너의 얘기잖아
거리에서 내 노래가 나와
배낭 메고 여행이나 갈까
지나고 보니 시간은 참 빨라
어떻게 너가 다른 남자를 만나
거리에서 내 노래가 나와
텅 빈 가슴을 채웠었지, 야망으로 (야망으로)
어떻게 너가 다른 남자를 만나
거리에서 내 노래가 나와
배낭 메고 여행이나 갈까
지나고 보니 시간은 참 빨라
어떻게 너가"
나쁜 X (Feat. CHANGMO),릴러말즈 (Leellamarz),"나쁜 X
넌 진짜 나빠
다 버리고
나를 떠나
너의 행복 
진심으로 빌어
마지막까지도
넌 진짜 나쁜 X이야
내 인생을 또 망치고 
그녀는 도망쳐
우린 또다시 다치고
남겨, 새로운 상처
내 인생을 또 망치고 
그녀는 도망쳐
우린 또다시 다치고
남겨, 새로운 상처
이쁜 게
잘못이겠지
Umm, umm
No, don’t smile
아직 할 얘기가
남았잖아
다 가지고 가면 난 어떡해
그렇게
잔인하게 밟고 갈 거였다면, 왜
You said
날 사랑한다고 했니
난 또 믿었지
그리고 또 배신당해도 몰라
바보 있어요, 여기요, 여기
제발 아무나 Love me
그녀의 품이 아님 숨쉬기
힘들어졌나 흔들리는 눈빛
난 널 그리워해, 진짜 웃기지
너가 상처투성이기를 저주해
그래서 찾아봤지
인스타를 저번 주에
사용자를 찾을 수 없었지
핸드폰은 멍청해
어떻게 넌 멀쩡해
왜 나만 걱정돼
너가 상처투성이기를 저주해
그래서 찾아봤지
인스타를 저번 주에
사용자를 찾을 수 없었지
핸드폰은 멍청해
어떻게 넌 멀쩡해
왜 나만 걱정돼
나쁜 X
넌 진짜 나빠
다 버리고
나를 떠나
너의 행복 
진심으로 빌어
마지막까지도
넌 진짜 나쁜 X이야
내 인생을 또 망치고 
그녀는 도망쳐
우린 또다시 다치고
남겨, 새로운 상처
내 인생을 또 망치고 
그녀는 도망쳐
우린 또다시 다치고
남겨, 새로운 상처
내 생 내내 나 크게 자부심을 가지던 거
신중하다는 것
실수 따위 다 버텨냈는데
너란 사건, 한 번에, Oh, f**k
다들 나의 이별 노래들을 좋아해
소소하잖아, 지난 추억처럼 아리네 
당한 거와는 멀었어서
허나 너가 망쳤어, Applause
“Baby” 이런 말들이 
너에게 더 이상 연관 따위
되지 않게 하고 싶은데, 
어느새 네 동네서 해, 난 드라이브
아니, 넌? 내 폰 플레이리스트를 정리 못 한 단 거
난 틀어놔, ""Love Vibration""
F**kin' love vibration
싫어하는 거 알면서, 왜 넌 나를 이용했어?
물론 나 네 죄만 지니고 살면 더 편해
물었잖아, ”다 해줄게, 자기, 요것도 원해?“
넌 참 아름답게 남았네, 가슴 한켠엔
**, That’s me, 적이 된 내 bestie
But I wanna ask you 
“Girl, did you miss me?” 
뜬금없이 떠오르는 너가 쓰던 틴트 색, What
내 인생을 또 망치고 
그녀는 도망쳐
우린 또다시 다치고
남겨, 새로운 상처
내 인생을 또 망치고 
그녀는 도망쳐
우린 또다시 다치고
남겨, 새로운 상처"
불평불만,릴러말즈 (Leellamarz),"불평불만을 하기엔
참 많이 갖고 살아
이기적인 것도 알아
참 사람이라는 게
가지고 가져도 가지고 싶은 걸까
다 가지면 좋을까
매일같이 웃을까
가지고 가지면 너도 내게로 올까
다 가지면 좋을까
매일같이 웃을까
Everyday work, work, work, work, work
분명한 건 음악 하다가 죽어
다 타들어 가서 속이 꺼멓지
가끔 웃으며 인사하는 것도
힘들어 죽겠어
I gotta run, run 멀리 저 멀리
아무도 찾을 수 없는 곳으로 도망가고 싶어
다시 말하자면 아주 가끔 사라지고 싶어
사는 게 그렇지만 너무 지쳐
24/7, 365
Living my life style
And this is hip hop
작업실 앞 연우김밥에서
한 줄 들고 돌아와서 다시 Beat drop
OK, 혀가 길기엔 너무 많이 벌어
버는 돈을 보면 저 남자애들은 얼어
Gang, gang, gang, gang
목숨을 걸었어
내 주변엔 여럿
힘내자, 우리 모두 오늘도 Turn up
불평불만을 하기엔
참 많이 갖고 살아
이기적인 것도 알아
참 사람이라는 게
가지고 가져도 가지고 싶은 걸까
다 가지면 좋을까
매일같이 웃을까
가지고 가지면 너도 내게로 올까
다 가지면 좋을까
매일같이 웃을까
난 가졌어, 모든 걸
남들이 부러워할 것 천지인 걸
여전히 하늘은 파랗고
바람이 불어
그걸 이제야 알았고
그제서야 웃었지
가지는 게 무서웠지만
버릴 줄도 배웠지
우린 다 같이 벌었고
여전히 같은 Family
내가 거지가 된다 해도
나는 두려울 게 없지
아마 다시 한번 똑같이
해낼 거야, 했던 것 같이
I’m gone
진짜 철이 없던 때로부터
널 사랑했던 그때로부터
다시 돌아갈 순 없을 거야
바이올린 소리를 들으면 다시 마음이 붕 떠도
노래를 멈추기엔 무대는 너무 뜨겁지
미련 갖기엔 다음 곡 전주가 이미 들려오니
괜찮아, 우린 많은 걸 가졌어
힘내자, 우리 모두 오늘도 Turn up
불평불만을 하기엔
참 많이 갖고 살아
이기적인 것도 알아
참 사람이라는 게
가지고 가져도 가지고 싶은 걸까
다 가지면 좋을까
매일같이 웃을까
가지고 가지면 너도 내게로 올까
다 가지면 좋을까
매일같이 웃을까"
"이쁜 여자가 좋더라 (Feat. Gist, Jayci yucca)",릴러말즈 (Leellamarz),"멋진 여자
섹시한 여자
귀여운 여자
처음 본 여자
자고 간 여자
많은 여자가 있지만 
난 이쁜 여자가 좋더라
오랜만에 만난 넌
왜 폼 떨어졌냐고
착하기만 하면 대체
얻다 써먹냐고
자꾸만 너 친구한테
눈이 가더라고
역시 난 이쁜 여자가
참 좋더라고
You are so pretty
You are so cute
You are so beautiful
난 침을 뚝
Drip, drip
커피같이
Kiss, kiss me
청소기같이
나쁜 상상 때문에 키가 작나 봐
생각보다 괜찮아 
그냥 한번 만나봐
생각보다 괜찮아
돈도 내가 벌잖아
된장녀로 만들어 줄게
너 얼른 골라봐
관리하는 여자 좋지만 넌 그냥 좋지
내 후각은 강아지, 예쁜 애만 쫓지
이름 뭐예요, 혹시 혜지, 민지, 색시?
너를 데리러 갈 때, 내 차는 총알택시
멋진 여자
섹시한 여자
귀여운 여자
처음 본 여자
자고 간 여자
많은 여자가 있지만 
난 이쁜 여자가 좋더라
오랜만에 만난 넌
왜 폼 떨어졌냐고
착하기만 하면 대체
얻다 써먹냐고
자꾸만 너 친구한테
눈이 가더라고
역시 난 이쁜 여자가
참 좋더라고
예쁜 여자, 그냥 바로 합격
손대지 마, 더러운 건
너가 원하면 돼줄게, 짜자 잔
팝스타
오늘 말한 거 다 해줄 거야
대신 이거 마시면 나랑 사귀는 거야
나랑 사귀는 거야
싹 다 지우는 거야
언니, 나 여기서 꽤나 잘나가 
수입으로 벌어, Top 5
차가 세 대지 
자기야, 아침마다 난 골라타
Pretty cute shawty들이 물어봐 
'How to find me'
Cuz I don’t go out
Make money
한참 모자라 Keep going
That's yo flex
Man, it's funny
한 번 더 돌고 와, 길거리
자기야, 조심해, 저 오빠 차는 풀 리스
이쁜 Ladies, 조심해 줘, 플리즈"
